Date,Open,High,Low,Close,Adj Close,Volume
16/08/2023,445.2000122,446.75,434.0599976,434.8599854,434.7655334,52745100
17/08/2023,439.7000122,440.6199951,430.0100098,433.4400024,433.3458557,45239500
18/08/2023,426.3500061,435.7799988,416.6000061,432.9899902,432.8959656,58262200
21/08/2023,444.9400024,470.6499939,442.2200012,469.6700134,469.5679932,69257300
22/08/2023,481.3500061,481.8699951,453.3299866,456.6799927,456.58078,75720700
23/08/2023,458.6600037,472,452.0799866,471.1600037,471.0576782,77904600
24/08/2023,502.1600037,502.6600037,471.5899963,471.6300049,471.5275574,115604400
25/08/2023,470.1199951,478.0499878,450.2399902,460.1799927,460.0800476,92534100
28/08/2023,464.8200073,469.7999878,448.8800049,468.3500061,468.248291,68519200
29/08/2023,466.6600037,490.8099976,463.9100037,487.8399963,487.7340393,70139700
30/08/2023,490.4400024,499.269989,484.25,492.6400146,492.53302,73520600
31/08/2023,493.7999878,497.4400024,489.5799866,493.5499878,493.4427795,52857000
01/09/2023,497.6199951,498,481.4200134,485.0899963,484.9846497,46319100
05/09/2023,482.230011,488.5100098,478.6000061,485.480011,485.3745728,38265300
06/09/2023,484.4100037,485.4899902,465.7999878,470.6099854,470.5465393,46867000
07/09/2023,455.25,463.4400024,451.519989,462.4100037,462.3476563,43333000
08/09/2023,459.4200134,466.0599976,452.7099915,455.7200012,455.6585693,47306900
11/09/2023,461.480011,461.6300049,443.1199951,451.7799988,451.7190857,47396600
12/09/2023,447.3800049,456.730011,445.3099976,448.7000122,448.6394958,34925600
13/09/2023,446,459.2999878,445.0299988,454.8500061,454.7886963,39835500
14/09/2023,459.5,459.8699951,451.3099976,455.8099976,455.7485352,37009700
15/09/2023,453.4100037,455.9899902,438.0799866,439,438.9407959,50571300
18/09/2023,427.480011,442.4200134,420,439.6600037,439.600708,50027100
19/09/2023,438.3299866,439.6600037,430.019989,435.2000122,435.1413269,37306400
20/09/2023,436,439.0299988,422.230011,422.3900146,422.3330688,36710800
21/09/2023,415.8299866,421,409.7999878,410.1700134,410.1147156,44893000
22/09/2023,415.7200012,421.1499939,412.3099976,416.1000061,416.0438843,47923600
25/09/2023,415.9100037,425.3599854,411.769989,422.2200012,422.1630859,41909100
26/09/2023,420.0100098,428.2000122,416.5499878,419.1099854,419.0534973,40228200
27/09/2023,423.2999878,428.7200012,416.2900085,424.6799927,424.6227417,44493500
28/09/2023,424.6000061,434.4599915,421.1499939,430.8900146,430.8319397,42466300
29/09/2023,438.269989,441.4400024,433.0700073,434.9899902,434.9313354,39722100
02/10/2023,440.2999878,451.75,438.6099854,447.8200073,447.7596436,43329800
03/10/2023,448.0799866,451.2999878,432.4599915,435.1700134,435.1113281,47085000
04/10/2023,437.4200134,441.4299927,432.9200134,440.4100037,440.3506165,36182100
